[86/144] eval-expression | ja_directive | sample2 -- ok (74.0s, 2580 tokens)
[87/144] eval-expression | ja_directive | sample3 -- ok (77.6s, 2722 tokens)
[88/144] eval-expression | ja_directive | sample4 -- ok (71.6s, 2501 tokens)
[89/144] eval-expression | ja_directive | sample5 -- ok (68.2s, 2368 tokens)
[90/144] eval-expression | ja_directive | sample6 -- ok (73.5s, 2543 tokens)
[91/144] eval-expression | mt_en | sample1 -- skip (already done)
[92/144] eval-expression | mt_en | sample2 -- ok (58.2s, 2005 tokens)
[93/144] eval-expression | mt_en | sample3 -- ok (65.9s, 2283 tokens)
[94/144] eval-expression | mt_en | sample4 -- ok (57.8s, 2004 tokens)
[95/144] eval-expression | mt_en | sample5 -- ok (63.5s, 2188 tokens)
[96/144] eval-expression | mt_en | sample6 -- ok (54.7s, 1900 tokens)
[97/144] shortest-path | en_human | sample1 -- skip (already done)
[98/144] shortest-path | en_human | sample2 -- ok (57.9s, 2107 tokens)
[99/144] shortest-path | en_human | sample3 -- ok (62.4s, 2242 tokens)
[100/144] shortest-path | en_human | sample4 -- ok (49.0s, 1781 tokens)
[101/144] shortest-path | en_human | sample5 -- ok (57.0s, 2043 tokens)
[102/144] shortest-path | en_human | sample6 -- ok (50.6s, 1828 tokens)
[103/144] shortest-path | ja_raw | sample1 -- skip (already done)
[104/144] shortest-path | ja_raw | sample2 -- ok (56.0s, 2045 tokens)
[105/144] shortest-path | ja_raw | sample3 -- ok (59.4s, 2158 tokens)
[106/144] shortest-path | ja_raw | sample4 -- ok (56.9s, 2067 tokens)
[107/144] shortest-path | ja_raw | sample5 -- ok (53.8s, 1946 tokens)
[108/144] shortest-path | ja_raw | sample6 -- ok (59.1s, 2143 tokens)
[109/144] shortest-path | ja_directive | sample1 -- skip (already done)
[110/144] shortest-path | ja_directive | sample2 -- ok (68.9s, 2533 tokens)
[111/144] shortest-path | ja_directive | sample3 -- ok (62.4s, 2298 tokens)
[112/144] shortest-path | ja_directive | sample4 -- ok (72.1s, 2613 tokens)
[113/144] shortest-path | ja_directive | sample5 -- ok (74.4s, 2672 tokens)
[114/144] shortest-path | ja_directive | sample6 -- ok (74.4s, 2702 tokens)
[115/144] shortest-path | mt_en | sample1 -- skip (already done)
[116/144] shortest-path | mt_en | sample2 -- ok (53.9s, 1974 tokens)
